RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6411937	009887	1135101317	620.33	
6411939	009889	1135101615	620.33	
6411940	009890	1135101624	624.08	
6411941	009891	1135101701	621.71	
6411942	009892	1135101710	621.48	
6411943	009893	1135101808	4324.56	
6411944	009894	1135101818	682.44	
6411945	009895	1135101823	620.33	
6411946	009896	1135101824	620.33	
6411947	009897	1135101905	685.68	
6411948	009898	1135101906	617.2	
6411951	009901	1135159527	4123.04	
6411952	009902	1135159608	687.78	
6411955	009905	1136076733	640.85	
6411956	009906	1136077104	625.73	
6411957	009907	1136077125	634.45	
6411958	009908	1136077131	625.73	
6411959	009909	1136077216	1510.24	
6411960	009910	1136077221	625.73	
6411961	009911	1136077306	630.07	
6411962	009912	1136077307	630.07	
6411963	009913	1136077310	625.73	
6411964	009914	1136077311	625.73	
6411966	009916	1136077318	634.45	
6411967	009917	1136077320	714.62	
6411968	009918	1136077329	634.45	
6411969	009919	1136077330	634.45	
6411971	009921	1136077425	634.45	
6411972	009922	1136077436	5866.95	
6411973	009923	1136077441	623.08	
6411975	009925	1136077926	625.73	
6411977	009927	1136078102	704.98	
6411978	009928	1136078112	689.73	
6411979	009929	1136078122	689.61	
6411980	009930	1136078206	701.76	
6411981	009931	1136078401	711.41	
6411982	009932	1136078412	640.24	
6411983	009933	1136078514	634.45	
6411984	009934	1136078626	625.73	
6411986	009936	1136078812	625.73	
6411987	009937	1136078916	641.02	
6411990	009940	1136079107	625.95	
6411991	009941	1136079119	622.72	
6411992	009942	1136098507	620.02	
6411993	009943	1136098508	620.02	
6411994	009944	1136098514	690.5	
6411995	009945	1136098608	617.44	
6411996	009946	1136098805	642.61	
6411998	009948	1136098906	729.13	
6411999	009949	1136099105	758.45	
6412001	009951	1136099214	725.27	
6412003	009953	1136099233	620.02	
6412004	009954	1136099236	690.5	
6412005	009955	1136099319	624.7	
6412006	009956	1136099408	626.58	
6412007	009957	1136099409	626.58	
6412008	009958	1136099411	626.58	
6412009	009959	1136099416	625.57	
6412011	009961	1136099508	690.5	
6412014	009964	1136099606	617.44	
6412017	009967	1136099808	690.5	
6412018	009968	1136099815	690.5	
6412019	009969	1136099816	767.83	
6412020	009970	1136099823	690.5	
6412021	009971	1136099829	617.44	
6412022	009972	1136099901	627.47	
6412023	009973	1136099907	617.08	
6412024	009974	1136099910	684.06	
6412025	009975	1136099915	690.5	
6412026	009976	1136100009	693.72	
6412029	009979	1136100305	628.67	
6412030	009980	1136100313	692.11	
6412033	009983	1136100413	617.08	
6412034	009984	1136100414	617.08	
6412035	009985	1136100415	617.08	
6412038	009988	1136101416	2002.9	
6412040	009990	1136102910	666.5	
6412041	009991	1136102911	691.8	
6412042	009992	1136109115	620.02	
6412043	009993	1136109612	617.44	
6412044	009994	1136109619	617.44	
6412045	009995	1136109623	2999.07	
6412046	009996	1136109707	624.07	
6412048	009998	1137156707	1074.18	
6412049	009999	1137156814	661.8	
6412050	010000	1137156908	687.78	
6412051	010001	1137156920	676.12	
6412052	010002	1137156921	662.12	
6412053	010003	1137156922	685.25	
6412054	010004	1137156923	656.39	
6412055	010005	1137157013	697.97	
6412056	010006	1137157305	738.76	
6412057	010007	1137157310	652.84	
6412058	010008	1137157314	733.96	
6412059	010009	1137157423	2385.1	
6412060	010010	1137157433	733.96	
6412061	010011	1137157507	4746.38	
6412062	010012	1137157604	769.36	
6412063	010013	1137157622	2771.32	
6412064	010014	1137157640	650.81	
6412065	010015	1137157701	6221.44	
6412066	010016	1137157801	659.09	
6412067	010017	1137157901	756.51	
6412069	010019	1137158008	654.84	
6412070	010020	1137158109	769.36	
6412071	010021	1137158205	694.07	
6412072	010022	1137158209	730.74	
6412073	010023	1137158805	659.78	
6412075	010025	1137158909	650.81	
6412076	010026	1137158911	674.2	
6412077	010027	1137158924	661.8	
6412078	010028	1137158925	661.8	
6412079	010029	1137159205	679.94	
