RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971676,230877,1983-04-1-02-008,543.66,
2971677,230879,1985-00-0-00-818,27.69,
2971678,230880,1985-00-0-00-827,35.05,
2971679,230881,1985-00-0-00-842,32.27,
2971680,230882,1985-08-4-00-002,25.86,
2971681,230885,1985-09-2-09-004,75.21,
2971682,230886,1985-09-2-09-010,370.12,
2971683,230887,1985-09-2-09-011,132.18,
2971684,230888,1985-09-2-10-006,127.38,
2971685,230891,1985-09-2-10-021,135.04,
2971686,230892,1985-09-2-11-006,127.38,
2971687,230894,1985-09-2-11-018,127.38,
2971688,230895,1985-09-2-11-019,131.08,
2971689,230896,1985-09-3-00-001,34.36,
2971690,230900,1985-09-3-02-008,722.42,
2971691,230901,1985-09-3-05-006,514.96,
2971692,230902,1985-09-3-05-007,4514.16,
2971693,230903,1985-16-2-00-001,625.76,
2971694,230904,1985-16-2-00-040,34.36,
2971695,230905,1985-16-2-00-099,34.36,
2971696,230906,1985-16-2-02-005,582.68,
2971697,230907,1985-16-2-06-008,722.42,
2971698,230908,1985-17-1-00-004,907.7,
2971699,230910,1987-00-0-00-849,24.65,
2971700,230911,1987-00-0-00-855,24.63,
2971701,230912,1987-00-0-00-859,27.65,
2971702,230913,1987-00-0-00-861,24.63,
2971703,230917,2055-00-0-00-822,35.33,
2971704,230918,2059-18-3-00-801,24.22,
2971705,230920,2059-18-3-17-005,35.62,
2971706,230921,2061-00-0-00-826,35.26,
2971707,230922,2061-00-0-00-828,25.79,
2971708,230923,2061-00-0-00-831,24.96,
2971709,230924,2061-00-0-00-832,25.12,
2971710,230925,2061-00-0-00-841,24.47,
2971711,230926,2061-00-0-00-859,24.47,
2971712,230927,2061-00-0-00-874,24.45,
2971713,230928,2061-00-0-00-888,24.45,
2971714,230929,2061-13-1-20-002,563.35,
2971715,230930,2061-13-1-27-006,450.41,
2971716,230931,2061-13-4-07-004,374.87,
2971717,230932,2061-13-4-09-007,450.64,
2971718,230933,2061-13-4-09-011,321.59,
2971719,230936,2061-13-4-11-022,670.95,
2971720,230941,2063-00-0-00-849,30.63,
2971721,230942,2065-00-0-00-175,230.25,
2971722,230944,2067-00-0-01-007,1464.6,
2971723,230946,2071-00-0-00-822,31.25,
2971724,230947,2073-03-1-13-004,601.62,
2971725,230952,2073-03-2-01-009,1893.05,
2971726,230953,2073-03-2-04-008,1028.48,
2971727,230958,2073-03-2-21-009,1708.76,
2971728,230964,2073-03-3-10-012,1917.23,
2971729,230966,2073-03-3-19-016,1079.6,
2971730,230968,2073-03-3-24-001,1438.97,
2971731,230970,2073-03-4-06-002,1729.22,
2971732,230971,2073-03-4-11-008,1845.62,
2971733,230973,2073-03-4-22-026,1818.12,
2971734,230974,2073-03-4-22-036,1016.46,
2971735,230976,2073-03-4-23-012,2081.52,
2971736,230978,2073-04-1-10-003,33.91,
2971737,230982,2073-04-1-28-025,1106.12,
2971738,230984,2073-04-2-07-007,30.38,
2971739,230985,2073-04-2-16-002,1994.27,
2971740,230986,2073-04-3-04-012,1714.71,
2971741,230988,2073-04-3-10-006,1660.85,
2971742,230991,2073-04-3-30-020,717.76,
2971743,230993,2073-04-4-16-009,916.16,
2971744,230994,2073-04-4-17-003,1720.6,
2971745,230996,2073-05-1-01-056,1327.46,
2971746,230998,2073-05-1-05-018,1628.01,
2971747,231002,2073-05-1-08-016,2044.34,
2971748,231007,2073-05-1-13-034,1639.32,
